Ticker,Market,Current Price,Mon (Sep 07),Tue (Sep 08),Wed (Sep 09),Thu (Sep 10),Fri (Sep 11),5-Day Change (%),Trajectory
ARX.TO,Canada,C$33.91 CAD,C$34.76 CAD,C$34.69 CAD,C$34.19 CAD,C$33.63 CAD,C$34.32 CAD,+1.22%,BULLISH 📈
ATD.TO,Canada,C$82.00 CAD,C$84.05 CAD,C$82.80 CAD,C$83.76 CAD,C$82.48 CAD,C$84.13 CAD,+2.59%,BULLISH 📈
AUTO.L,United Kingdom,£505.00 GBP,£495.40 GBP,£502.55 GBP,£500.85 GBP,£498.04 GBP,£491.56 GBP,-2.66%,BEARISH 📉
AV.L,United Kingdom,£729.80 GBP,£712.78 GBP,£730.58 GBP,£712.37 GBP,£729.97 GBP,£712.43 GBP,-2.38%,BEARISH 📉
AVGO,United States,$357.89 USD,$366.02 USD,$359.95 USD,$365.53 USD,$360.02 USD,$367.14 USD,+2.58%,BULLISH 📈
AZN.L,United Kingdom,£12006.00 GBP,£11792.10 GBP,£11822.11 GBP,£11828.58 GBP,£11783.44 GBP,£11772.46 GBP,-1.95%,BEARISH 📉
BA,United States,$212.25 USD,$207.20 USD,$202.90 USD,$207.49 USD,$204.50 USD,$208.44 USD,-1.79%,BEARISH 📉
BA.L,United Kingdom,£1956.50 GBP,£1910.97 GBP,£1911.00 GBP,£1920.97 GBP,£1931.17 GBP,£1930.11 GBP,-1.35%,BEARISH 📉
BAC,United States,$62.68 USD,$64.25 USD,$63.96 USD,$63.26 USD,$62.24 USD,$63.52 USD,+1.34%,BULLISH 📈
BAM.TO,Canada,C$70.00 CAD,C$71.75 CAD,C$71.08 CAD,C$70.97 CAD,C$69.86 CAD,C$71.27 CAD,+1.81%,BULLISH 📈
BARC.L,United Kingdom,£496.65 GBP,£509.06 GBP,£499.18 GBP,£509.56 GBP,£502.08 GBP,£511.86 GBP,+3.06%,BULLISH 📈
BATS.L,United Kingdom,£4125.00 GBP,£4168.41 GBP,£4171.61 GBP,£4186.97 GBP,£4187.33 GBP,£4184.54 GBP,+1.44%,BULLISH 📈
BCE.TO,Canada,C$32.79 CAD,C$33.61 CAD,C$33.30 CAD,C$33.24 CAD,C$32.71 CAD,C$33.37 CAD,+1.78%,BULLISH 📈
BMO.TO,Canada,C$242.76 CAD,C$248.67 CAD,C$244.35 CAD,C$248.55 CAD,C$244.83 CAD,C$249.65 CAD,+2.84%,BULLISH 📈
BNS.TO,Canada,C$129.65 CAD,C$132.89 CAD,C$131.41 CAD,C$131.75 CAD,C$129.70 CAD,C$132.31 CAD,+2.05%,BULLISH 📈
BP.L,United Kingdom,£539.70 GBP,£553.19 GBP,£560.93 GBP,£560.38 GBP,£559.21 GBP,£549.65 GBP,+1.84%,BULLISH 📈
BRK-B,United States,$506.03 USD,$508.49 USD,$497.58 USD,$509.21 USD,$501.96 USD,$511.57 USD,+1.10%,BULLISH 📈
CAE.TO,Canada,C$33.73 CAD,C$34.57 CAD,C$34.41 CAD,C$34.05 CAD,C$33.50 CAD,C$34.19 CAD,+1.36%,BULLISH 📈
CAT,United States,$813.94 USD,$821.73 USD,$804.40 USD,$822.90 USD,$811.11 USD,$826.70 USD,+1.57%,BULLISH 📈
CCL-B.TO,Canada,C$95.00 CAD,C$97.37 CAD,C$96.23 CAD,C$96.63 CAD,C$95.12 CAD,C$97.04 CAD,+2.14%,BULLISH 📈
CM.TO,Canada,C$162.75 CAD,C$166.82 CAD,C$165.03 CAD,C$165.29 CAD,C$162.71 CAD,C$165.99 CAD,+1.99%,BULLISH 📈
CMCSA,United States,$26.49 USD,$27.15 USD,$26.96 USD,$26.79 USD,$26.36 USD,$26.90 USD,+1.54%,BULLISH 📈
CNQ.TO,Canada,C$69.78 CAD,C$71.52 CAD,C$70.90 CAD,C$70.69 CAD,C$69.57 CAD,C$70.98 CAD,+1.73%,BULLISH 📈
CNR.TO,Canada,C$170.58 CAD,C$174.84 CAD,C$171.43 CAD,C$175.03 CAD,C$172.46 CAD,C$175.82 CAD,+3.07%,BULLISH 📈
COP,United States,$134.26 USD,$137.62 USD,$135.16 USD,$137.61 USD,$135.56 USD,$138.22 USD,+2.95%,BULLISH 📈
COST,United States,$915.74 USD,$893.66 USD,$879.44 USD,$899.44 USD,$880.20 USD,$874.71 USD,-4.48%,BEARISH 📉
CP.TO,Canada,C$126.77 CAD,C$129.94 CAD,C$127.71 CAD,C$129.85 CAD,C$127.90 CAD,C$130.42 CAD,+2.88%,BULLISH 📈
CPG.L,United Kingdom,£30.76 GBP,£31.53 GBP,£31.42 GBP,£31.03 GBP,£30.53 GBP,£31.16 GBP,+1.28%,BULLISH 📈
CRM,United States,$259.23 USD,$256.14 USD,$250.81 USD,$256.50 USD,$252.81 USD,$257.68 USD,-0.60%,BEARISH 📉
CSCO,United States,$109.20 USD,$111.93 USD,$110.77 USD,$110.85 USD,$109.11 USD,$111.32 USD,+1.94%,BULLISH 📈
CSU.TO,Canada,C$3023.96 CAD,C$2976.36 CAD,C$2983.79 CAD,C$2991.28 CAD,C$2982.97 CAD,C$2980.36 CAD,-1.44%,BEARISH 📉
CVE.TO,Canada,C$44.83 CAD,C$45.95 CAD,C$45.81 CAD,C$45.21 CAD,C$44.48 CAD,C$45.40 CAD,+1.27%,BULLISH 📈
CVX,United States,$208.60 USD,$213.82 USD,$209.73 USD,$213.99 USD,$210.84 USD,$214.96 USD,+3.05%,BULLISH 📈
DGE.L,United Kingdom,£1657.00 GBP,£1681.73 GBP,£1683.70 GBP,£1688.70 GBP,£1687.69 GBP,£1686.42 GBP,+1.78%,BULLISH 📈
DHR,United States,$207.66 USD,$212.84 USD,$208.42 USD,$213.14 USD,$210.07 USD,$214.12 USD,+3.11%,BULLISH 📈
EMP-A.TO,Canada,C$47.94 CAD,C$49.14 CAD,C$48.92 CAD,C$48.39 CAD,C$47.61 CAD,C$48.58 CAD,+1.34%,BULLISH 📈
ENB.TO,Canada,C$69.32 CAD,C$71.05 CAD,C$70.47 CAD,C$70.19 CAD,C$69.07 CAD,C$70.48 CAD,+1.67%,BULLISH 📈
ENT.L,United Kingdom,£527.80 GBP,£514.74 GBP,£524.65 GBP,£513.97 GBP,£525.92 GBP,£521.59 GBP,-1.18%,BEARISH 📉
EXPN.L,United Kingdom,£2814.00 GBP,£2770.77 GBP,£2777.90 GBP,£2785.10 GBP,£2776.79 GBP,£2774.36 GBP,-1.41%,BEARISH 📉
FSV.TO,Canada,C$199.56 CAD,C$204.55 CAD,C$200.32 CAD,C$204.83 CAD,C$201.88 CAD,C$205.77 CAD,+3.11%,BULLISH 📈
FTS.TO,Canada,C$76.47 CAD,C$78.38 CAD,C$77.55 CAD,C$77.66 CAD,C$76.44 CAD,C$77.98 CAD,+1.98%,BULLISH 📈
GE,United States,$337.12 USD,$345.55 USD,$339.77 USD,$345.15 USD,$339.95 USD,$346.67 USD,+2.83%,BULLISH 📈
GIB-A.TO,Canada,C$102.02 CAD,C$104.57 CAD,C$102.56 CAD,C$104.66 CAD,C$103.13 CAD,C$105.14 CAD,+3.05%,BULLISH 📈
GIL.TO,Canada,C$73.89 CAD,C$75.74 CAD,C$75.10 CAD,C$74.84 CAD,C$73.65 CAD,C$75.15 CAD,+1.70%,BULLISH 📈
GLEN.L,United Kingdom,£601.70 GBP,£590.43 GBP,£604.96 GBP,£590.46 GBP,£603.68 GBP,£590.03 GBP,-1.94%,BEARISH 📉
GOOGL,United States,$338.46 USD,$346.92 USD,$340.24 USD,$347.24 USD,$342.14 USD,$348.81 USD,+3.06%,BULLISH 📈
GSK.L,United Kingdom,£1846.50 GBP,£1872.87 GBP,£1874.35 GBP,£1887.47 GBP,£1880.65 GBP,£1879.53 GBP,+1.79%,BULLISH 📈
HD,United States,$321.05 USD,$314.61 USD,$307.92 USD,$315.06 USD,$310.56 USD,$316.52 USD,-1.41%,BEARISH 📉
HLN.L,United Kingdom,£352.80 GBP,£361.60 GBP,£353.85 GBP,£362.12 GBP,£356.96 GBP,£363.79 GBP,+3.12%,BULLISH 📈
HSBA.L,United Kingdom,£1580.20 GBP,£1619.41 GBP,£1626.83 GBP,£1642.62 GBP,£1621.00 GBP,£1603.13 GBP,+1.45%,BULLISH 📈
IBM,United States,$234.89 USD,$240.76 USD,$236.11 USD,$240.98 USD,$237.44 USD,$242.07 USD,+3.06%,BULLISH 📈
IFC.TO,Canada,C$266.05 CAD,C$272.70 CAD,C$267.10 CAD,C$273.08 CAD,C$269.13 CAD,C$274.33 CAD,+3.11%,BULLISH 📈
IGM.TO,Canada,C$87.45 CAD,C$89.64 CAD,C$89.16 CAD,C$88.31 CAD,C$86.89 CAD,C$88.67 CAD,+1.40%,BULLISH 📈
IMO.TO,Canada,C$177.99 CAD,C$182.44 CAD,C$179.71 CAD,C$181.83 CAD,C$179.06 CAD,C$182.62 CAD,+2.60%,BULLISH 📈
INF.L,United Kingdom,£911.20 GBP,£900.29 GBP,£920.77 GBP,£902.34 GBP,£911.26 GBP,£896.54 GBP,-1.61%,BEARISH 📉
INTC,United States,$95.80 USD,$98.20 USD,$97.27 USD,$97.14 USD,$95.61 USD,$97.55 USD,+1.82%,BULLISH 📈
INTU,United States,$332.70 USD,$325.42 USD,$320.30 USD,$327.58 USD,$320.64 USD,$318.26 USD,-4.34%,BEARISH 📉
JNJ,United States,$275.23 USD,$282.11 USD,$276.66 USD,$282.38 USD,$278.23 USD,$283.65 USD,+3.06%,BULLISH 📈
JPM,United States,$358.64 USD,$367.36 USD,$360.23 USD,$367.73 USD,$362.33 USD,$369.39 USD,+3.00%,BULLISH 📈
KEY.TO,Canada,C$56.33 CAD,C$57.74 CAD,C$57.45 CAD,C$56.87 CAD,C$55.96 CAD,C$57.10 CAD,+1.37%,BULLISH 📈
KGF.L,United Kingdom,£307.40 GBP,£315.08 GBP,£308.48 GBP,£315.53 GBP,£311.00 GBP,£316.98 GBP,+3.12%,BULLISH 📈
KO,United States,$88.07 USD,$90.27 USD,$89.23 USD,$89.55 USD,$88.15 USD,$89.93 USD,+2.11%,BULLISH 📈
L.TO,Canada,C$63.31 CAD,C$64.89 CAD,C$64.56 CAD,C$63.92 CAD,C$62.90 CAD,C$64.18 CAD,+1.38%,BULLISH 📈
LAND.L,United Kingdom,£663.00 GBP,£647.17 GBP,£648.79 GBP,£656.44 GBP,£647.01 GBP,£640.01 GBP,-3.47%,BEARISH 📉
LLOY.L,United Kingdom,£112.60 GBP,£115.41 GBP,£114.48 GBP,£114.00 GBP,£112.20 GBP,£114.48 GBP,+1.67%,BULLISH 📈
LLY,United States,$1149.36 USD,$1178.00 USD,$1157.28 USD,$1184.25 USD,$1158.27 USD,$1151.90 USD,+0.22%,BULLISH 📈
LSEG.L,United Kingdom,£8830.00 GBP,£8686.74 GBP,£8713.79 GBP,£8719.36 GBP,£8679.58 GBP,£8670.28 GBP,-1.81%,BEARISH 📉
MA,United States,$579.21 USD,$564.78 USD,$578.89 USD,$564.46 USD,$578.44 USD,$564.80 USD,-2.49%,BEARISH 📉
MCD,United States,$255.69 USD,$261.74 USD,$256.22 USD,$262.11 USD,$258.36 USD,$263.32 USD,+2.99%,BULLISH 📈
META,United States,$616.77 USD,$606.24 USD,$593.26 USD,$607.10 USD,$598.45 USD,$609.92 USD,-1.11%,BEARISH 📉
MFC.TO,Canada,C$61.34 CAD,C$62.87 CAD,C$62.67 CAD,C$61.87 CAD,C$60.87 CAD,C$62.12 CAD,+1.27%,BULLISH 📈
MG.TO,Canada,C$95.35 CAD,C$97.73 CAD,C$96.36 CAD,C$97.29 CAD,C$95.79 CAD,C$97.71 CAD,+2.47%,BULLISH 📈
MNDI.L,United Kingdom,£853.00 GBP,£840.39 GBP,£841.77 GBP,£846.93 GBP,£843.06 GBP,£842.43 GBP,-1.24%,BEARISH 📉
MRK,United States,$150.33 USD,$154.09 USD,$151.49 USD,$153.93 USD,$151.62 USD,$154.61 USD,+2.85%,BULLISH 📈
MRU.TO,Canada,C$90.05 CAD,C$92.30 CAD,C$91.02 CAD,C$91.86 CAD,C$90.45 CAD,C$92.26 CAD,+2.45%,BULLISH 📈
MSFT,United States,$499.70 USD,$488.81 USD,$478.32 USD,$489.50 USD,$482.53 USD,$491.77 USD,-1.59%,BEARISH 📉
NA.TO,Canada,C$217.91 CAD,C$223.36 CAD,C$219.80 CAD,C$222.90 CAD,C$219.52 CAD,C$223.87 CAD,+2.74%,BULLISH 📈
NFLX,United States,$78.25 USD,$80.21 USD,$79.41 USD,$79.40 USD,$78.15 USD,$79.73 USD,+1.89%,BULLISH 📈
NG.L,United Kingdom,£1151.00 GBP,£1124.99 GBP,£1124.98 GBP,£1125.10 GBP,£1142.27 GBP,£1141.55 GBP,-0.82%,BEARISH 📉
NTR.TO,Canada,C$109.99 CAD,C$112.74 CAD,C$111.14 CAD,C$112.26 CAD,C$110.54 CAD,C$112.74 CAD,+2.50%,BULLISH 📈
NVDA,United States,$230.36 USD,$236.12 USD,$234.63 USD,$232.81 USD,$229.09 USD,$233.76 USD,+1.48%,BULLISH 📈
NWG.L,United Kingdom,£699.80 GBP,£717.29 GBP,£702.34 GBP,£718.31 GBP,£707.97 GBP,£721.61 GBP,+3.12%,BULLISH 📈
NXT.L,United Kingdom,£15335.00 GBP,£15098.96 GBP,£15143.59 GBP,£15157.58 GBP,£15092.15 GBP,£15075.41 GBP,-1.69%,BEARISH 📉
OTEX.TO,Canada,C$33.12 CAD,C$33.95 CAD,C$33.60 CAD,C$33.62 CAD,C$33.10 CAD,C$33.76 CAD,+1.95%,BULLISH 📈
PEP,United States,$137.63 USD,$141.07 USD,$138.29 USD,$141.23 USD,$139.16 USD,$141.87 USD,+3.08%,BULLISH 📈
PFE,United States,$28.45 USD,$29.16 USD,$29.10 USD,$28.68 USD,$28.22 USD,$28.80 USD,+1.22%,BULLISH 📈
PG,United States,$146.44 USD,$150.10 USD,$147.21 USD,$150.24 USD,$148.03 USD,$150.92 USD,+3.06%,BULLISH 📈
PM,United States,$182.53 USD,$187.09 USD,$184.15 USD,$186.66 USD,$183.83 USD,$187.48 USD,+2.71%,BULLISH 📈
POW.TO,Canada,C$95.28 CAD,C$97.66 CAD,C$97.06 CAD,C$96.28 CAD,C$94.74 CAD,C$96.68 CAD,+1.47%,BULLISH 📈
PRU.L,United Kingdom,£1022.50 GBP,£1020.32 GBP,£1041.12 GBP,£1022.39 GBP,£1037.28 GBP,£1024.73 GBP,+0.22%,BULLISH 📈
PSN.L,United Kingdom,£1145.00 GBP,£1116.49 GBP,£1121.25 GBP,£1131.42 GBP,£1117.26 GBP,£1116.50 GBP,-2.49%,BEARISH 📉
QCOM,United States,$168.74 USD,$172.71 USD,$169.51 USD,$172.79 USD,$170.23 USD,$173.56 USD,+2.86%,BULLISH 📈
REL.L,United Kingdom,£2620.00 GBP,£2597.09 GBP,£2602.74 GBP,£2609.68 GBP,£2603.82 GBP,£2601.66 GBP,-0.70%,BEARISH 📉
RIO.L,United Kingdom,£7641.00 GBP,£7506.20 GBP,£7526.83 GBP,£7537.46 GBP,£7509.85 GBP,£7501.66 GBP,-1.82%,BEARISH 📉
RKT.L,United Kingdom,£5114.00 GBP,£5173.54 GBP,£5181.37 GBP,£5190.85 GBP,£5179.14 GBP,£5173.91 GBP,+1.17%,BULLISH 📈
RS1.L,United Kingdom,£744.50 GBP,£728.12 GBP,£744.94 GBP,£729.30 GBP,£738.29 GBP,£726.18 GBP,-2.46%,BEARISH 📉
RTO.L,United Kingdom,£348.40 GBP,£357.11 GBP,£360.81 GBP,£362.45 GBP,£360.03 GBP,£354.09 GBP,+1.63%,BULLISH 📈
RY.TO,Canada,C$291.48 CAD,C$298.73 CAD,C$293.38 CAD,C$298.73 CAD,C$294.28 CAD,C$300.06 CAD,+2.94%,BULLISH 📈
SGE.L,United Kingdom,£1051.50 GBP,£1026.13 GBP,£1027.94 GBP,£1038.91 GBP,£1027.03 GBP,£1025.60 GBP,-2.46%,BEARISH 📉
SGRO.L,United Kingdom,£950.20 GBP,£926.48 GBP,£946.79 GBP,£928.60 GBP,£939.71 GBP,£926.02 GBP,-2.54%,BEARISH 📉
SHEL.L,United Kingdom,£3437.00 GBP,£3450.66 GBP,£3455.99 GBP,£3467.59 GBP,£3462.90 GBP,£3460.59 GBP,+0.69%,BULLISH 📈
SHOP.TO,Canada,C$200.76 CAD,C$205.78 CAD,C$202.18 CAD,C$205.70 CAD,C$202.63 CAD,C$206.61 CAD,+2.92%,BULLISH 📈
SLF.TO,Canada,C$112.09 CAD,C$114.89 CAD,C$113.44 CAD,C$114.14 CAD,C$112.38 CAD,C$114.63 CAD,+2.27%,BULLISH 📈
SMIN.L,United Kingdom,£2567.00 GBP,£2569.65 GBP,£2573.52 GBP,£2588.20 GBP,£2578.57 GBP,£2576.85 GBP,+0.38%,BULLISH 📈
SN.L,United Kingdom,£1064.00 GBP,£1038.03 GBP,£1037.18 GBP,£1039.14 GBP,£1053.11 GBP,£1052.60 GBP,-1.07%,BEARISH 📉
SSE.L,United Kingdom,£2401.00 GBP,£2359.91 GBP,£2364.90 GBP,£2378.08 GBP,£2366.41 GBP,£2364.62 GBP,-1.52%,BEARISH 📉
STAN.L,United Kingdom,£2244.00 GBP,£2300.06 GBP,£2336.13 GBP,£2323.28 GBP,£2312.91 GBP,£2282.26 GBP,+1.70%,BULLISH 📈
SU.TO,Canada,C$93.14 CAD,C$95.47 CAD,C$94.62 CAD,C$94.38 CAD,C$92.89 CAD,C$94.78 CAD,+1.76%,BULLISH 📈
T.TO,Canada,C$13.39 CAD,C$13.72 CAD,C$13.71 CAD,C$13.50 CAD,C$13.28 CAD,C$13.55 CAD,+1.21%,BULLISH 📈
TD.TO,Canada,C$168.24 CAD,C$172.45 CAD,C$169.95 CAD,C$171.77 CAD,C$169.14 CAD,C$172.51 CAD,+2.54%,BULLISH 📈
TECK-B.TO,Canada,C$95.59 CAD,C$97.98 CAD,C$96.82 CAD,C$97.24 CAD,C$95.73 CAD,C$97.65 CAD,+2.16%,BULLISH 📈
TIH.TO,Canada,C$198.36 CAD,C$203.32 CAD,C$199.70 CAD,C$203.29 CAD,C$200.26 CAD,C$204.20 CAD,+2.94%,BULLISH 📈
TMO,United States,$613.78 USD,$601.37 USD,$612.49 USD,$606.87 USD,$609.55 USD,$598.23 USD,-2.53%,BEARISH 📉
TMUS,United States,$181.52 USD,$186.05 USD,$182.45 USD,$186.24 USD,$183.50 USD,$187.08 USD,+3.06%,BULLISH 📈
TOU.TO,Canada,C$62.79 CAD,C$64.36 CAD,C$63.56 CAD,C$63.92 CAD,C$62.93 CAD,C$64.19 CAD,+2.23%,BULLISH 📈
TRP.TO,Canada,C$86.53 CAD,C$88.69 CAD,C$87.95 CAD,C$87.63 CAD,C$86.25 CAD,C$88.00 CAD,+1.69%,BULLISH 📈
TSLA,United States,$354.08 USD,$362.93 USD,$355.28 USD,$363.45 USD,$358.24 USD,$365.13 USD,+3.12%,BULLISH 📈
TW.L,United Kingdom,£82.74 GBP,£84.30 GBP,£82.71 GBP,£84.35 GBP,£83.10 GBP,£84.73 GBP,+2.40%,BULLISH 📈
TXN,United States,$258.44 USD,$264.87 USD,$259.73 USD,$265.14 USD,$261.25 USD,$266.34 USD,+3.06%,BULLISH 📈
ULVR.L,United Kingdom,£4763.00 GBP,£4820.47 GBP,£4827.32 GBP,£4838.23 GBP,£4831.13 GBP,£4826.61 GBP,+1.34%,BULLISH 📈
UNH,United States,$397.14 USD,$406.89 USD,$412.42 USD,$412.23 USD,$411.26 USD,$404.34 USD,+1.81%,BULLISH 📈
V,United States,$375.07 USD,$384.44 USD,$376.35 USD,$384.98 USD,$379.46 USD,$386.76 USD,+3.12%,BULLISH 📈
WCN.TO,Canada,C$228.15 CAD,C$233.85 CAD,C$229.09 CAD,C$234.17 CAD,C$230.77 CAD,C$235.24 CAD,+3.11%,BULLISH 📈
WCP.TO,Canada,C$17.98 CAD,C$18.43 CAD,C$18.50 CAD,C$18.13 CAD,C$17.83 CAD,C$18.20 CAD,+1.23%,BULLISH 📈
WFC,United States,$89.97 USD,$92.22 USD,$91.42 USD,$91.14 USD,$89.70 USD,$91.52 USD,+1.73%,BULLISH 📈
WMT,United States,$107.14 USD,$109.82 USD,$108.61 USD,$108.85 USD,$107.15 USD,$109.32 USD,+2.03%,BULLISH 📈
WN.TO,Canada,C$100.93 CAD,C$103.45 CAD,C$102.28 CAD,C$102.59 CAD,C$100.99 CAD,C$103.03 CAD,+2.08%,BULLISH 📈
WPP.L,United Kingdom,£374.90 GBP,£378.08 GBP,£386.21 GBP,£379.57 GBP,£381.80 GBP,£375.92 GBP,+0.27%,BULLISH 📈
WSP.TO,Canada,C$186.86 CAD,C$191.53 CAD,C$187.62 CAD,C$191.79 CAD,C$189.01 CAD,C$192.67 CAD,+3.11%,BULLISH 📈
WTB.L,United Kingdom,£2380.00 GBP,£2342.69 GBP,£2347.82 GBP,£2353.12 GBP,£2347.82 GBP,£2345.67 GBP,-1.44%,BEARISH 📉
XOM,United States,$159.47 USD,$163.46 USD,$160.68 USD,$163.31 USD,$160.86 USD,$164.03 USD,+2.86%,BULLISH 📈
